id,sex,cage,time.of.day,n.correct.training,n.incorrect.training,session.reward.colour,n.morning.colour.test,n.afternoon.colour.test,final.presentation,n.correct.training.last.2,n.incorrect.training.last.2,prop.correct.training.last.2,n.morning.colour.initial,n.afternoon.colour.initial,species,criterion,n.morning.colour.training,n.afternoon.colour.training,prop.morning.reward.colour,shift.in.prop.morning.colour,abs.shift.in.prop.morning.colour,colour.training.scheme
T17,M,1A,2afternoon,81,48,purple,13,29,normal,26,10,0.722222222,1,15,hecale,passed,48,81,0.372093023,,,yellow.morning.purple.afternoon
T18,M,3A,2afternoon,31,33,purple,2,2,normal,16,21,0.432432432,0,4,hecale,failed,33,31,0.515625,,,yellow.morning.purple.afternoon
T19,M,3A,2afternoon,60,11,purple,6,14,normal,10,2,0.833333333,0,15,hecale,failed,11,60,0.154929577,,,yellow.morning.purple.afternoon
T20,M,3A,2afternoon,27,17,purple,5,7,normal,8,15,0.347826087,0,9,hecale,failed,17,27,0.386363636,,,yellow.morning.purple.afternoon
T21,M,3A,2afternoon,51,1,purple,0,43,normal,12,0,1,0,0,hecale,NA,1,51,0.019230769,,,yellow.morning.purple.afternoon
T23,F,3A,2afternoon,6,4,purple,4,1,normal,2,1,0.666666667,1,8,hecale,passed,4,6,0.4,,,yellow.morning.purple.afternoon
T24,M,3A,2afternoon,64,6,purple,2,0,normal,23,4,0.851851852,0,3,hecale,failed,6,64,0.085714286,,,yellow.morning.purple.afternoon
T25,M,3A,2afternoon,28,25,purple,2,1,normal,10,0,1,0,6,hecale,passed,25,28,0.471698113,,,yellow.morning.purple.afternoon
T3,M,2A,2afternoon,92,59,yellow,4,4,normal,27,9,0.75,2,3,hecale,passed,59,92,0.390728477,,,purple.morning.yellow.afternoon
T5,F,2A,2afternoon,0,10,yellow,0,0,normal,0,7,0,0,0,hecale,NA,10,0,1,,,purple.morning.yellow.afternoon
T6,F,2A,2afternoon,0,5,yellow,0,0,normal,0,3,0,7,0,hecale,NA,5,0,1,,,purple.morning.yellow.afternoon
T8,M,2A,2afternoon,20,49,yellow,9,2,normal,7,11,0.388888889,11,1,hecale,failed,49,20,0.710144928,,,purple.morning.yellow.afternoon
W2,M,2A,2afternoon,62,13,yellow,0,0,normal,14,4,0.777777778,1,0,hecale,NA,13,62,0.173333333,,,purple.morning.yellow.afternoon
